StartB,Count,Proportion
1,15.5,0.004008275148694078
2,2.0,0.000517196793379881
4,3.5,0.0009050943884147918
5,232.5,0.06012412723041117
6,8.0,0.002068787173519524
7,2.5,0.0006464959917248513
17,9.0,0.0023273855702094647
22,1.0,0.0002585983966899405
23,1.0,0.0002585983966899405
28,1.0,0.0002585983966899405
33,1.0,0.0002585983966899405
37,1.0,0.0002585983966899405
38,1.5,0.0003878975950349108
44,0.5,0.00012929919834497026
50,3.0,0.0007757951900698216
54,1.0,0.0002585983966899405
60,1.0,0.0002585983966899405
68,1.0,0.0002585983966899405
69,1.0,0.0002585983966899405
70,1.0,0.0002585983966899405
71,3.0,0.0007757951900698216
72,1.0,0.0002585983966899405
76,1.0,0.0002585983966899405
84,1.0,0.0002585983966899405
85,1.0,0.0002585983966899405
90,1.0,0.0002585983966899405
94,2.0,0.000517196793379881
96,3.0,0.0007757951900698216
98,221.5,0.057279544866821824
101,2.0,0.000517196793379881
102,5.0,0.0012929919834497026
103,5.0,0.0012929919834497026
104,2.0,0.000517196793379881
108,21.0,0.005430566330488751
110,1.0,0.0002585983966899405
123,1.0,0.0002585983966899405
129,2.0,0.000517196793379881
131,1.0,0.0002585983966899405
134,1.0,0.0002585983966899405
138,6.5,0.0016808895784846134
150,1.0,0.0002585983966899405
153,1.5,0.0003878975950349108
154,14.5,0.0037496767520041377
155,34.5,0.008921644685802949
156,88.5,0.022885958107059737
157,174.0,0.04499612102404965
158,0.5,0.00012929919834497026
159,2.5,0.0006464959917248513
160,1.0,0.0002585983966899405
165,1.0,0.0002585983966899405
169,1.0,0.0002585983966899405
174,1.0,0.0002585983966899405
178,1.0,0.0002585983966899405
179,1.0,0.0002585983966899405
180,1.0,0.0002585983966899405
186,2.0,0.000517196793379881
189,14.0,0.0036203775536591673
192,1.0,0.0002585983966899405
193,1.0,0.0002585983966899405
195,2.0,0.000517196793379881
196,27.5,0.0071114559089733645
205,1.0,0.0002585983966899405
212,1.0,0.0002585983966899405
213,1.0,0.0002585983966899405
214,2.0,0.000517196793379881
221,1.0,0.0002585983966899405
222,1.0,0.0002585983966899405
223,34.5,0.008921644685802949
227,69.0,0.017843289371605897
230,4.0,0.001034393586759762
233,1.0,0.0002585983966899405
234,2.0,0.000517196793379881
235,1.0,0.0002585983966899405
236,1.0,0.0002585983966899405
239,1.0,0.0002585983966899405
240,3.0,0.0007757951900698216
241,3.0,0.0007757951900698216
245,6.0,0.0015515903801396431
248,1.0,0.0002585983966899405
249,1.0,0.0002585983966899405
256,3.5,0.0009050943884147918
259,1.0,0.0002585983966899405
262,5.0,0.0012929919834497026
263,0.5,0.00012929919834497026
264,10.5,0.0027152831652443757
268,1.5,0.0003878975950349108
269,1.0,0.0002585983966899405
271,3.0,0.0007757951900698216
276,1.0,0.0002585983966899405
